stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding																																	   
20462,4060,"17th Ave S & S 325th St",,47.310346,-122.311929,,,,,,1
6969,4062,"20th Ave S & S 328th Place",,47.307079,-122.307444,,,,,,1
9131,4063,"20th Way S & 327th Lane S",,47.308996,-122.309819,,,,,,1
11095,4064,"17th Ave S & S 325th St",,47.310392,-122.311793,,,,,,1
35059,4066,"28th Ave S & S 360th St",,47.279241,-122.297600,,,,,,1
44067,4067,"28th Ave S & S 360th St",,47.278555,-122.297755,,,,,,1
15134,4068,"7th Ave NE & NE 47th St",,47.663345,-122.320658,,,,,,1
7157,4069,"NE 45th St & University Way NE",,47.661251,-122.313216,,,,,,1
8783,4071,"15th Ave NE & NE Campus Pkwy",,47.656436,-122.312131,,,,,,1
19473,4073,"University of Washington Station",,47.649025,-122.304808,,,,,,1
18728,4074,"Auburn Station - Bay 4",,47.305286,-122.232044,,,,,,1
31504,4076,"20th St E & Goldau Ave E",,47.238929,-122.372324,,,,,,1
20116,4077,"59th Ave SW & Avondale Rd SW",,47.163905,-122.515832,,,,,,1
3239,4078,"59th Ave SW & Avondale Rd SW",,47.163672,-122.515695,,,,,,1
359,408,"6th Ave & Union Ave",,47.255324,-122.484248,,,,,,1
13215,4080,"SeaTac Airport Terminal - Bay 2",,47.441800,-122.299239,,,,,,1
16580,4082,"Commerce St Station - Zone C",,47.253717,-122.439563,,,,,,1
24466,4083,"Commerce St Station - Zone D",,47.253471,-122.439505,,,,,,1
16628,4084,"Commerce St Station - Zone E",,47.253826,-122.439446,,,,,,1
15624,4085,"Commerce St Station - Zone G",,47.255044,-122.439747,,,,,,1
27540,4086,"Dupont Station",,47.090011,-122.640023,,,,,,1
360,409,"6th Ave & Washington St N",,47.255221,-122.484857,,,,,,1
19869,4090,"70th Ave E & 28th St E",,47.230323,-122.336280,,,,,,1
14516,4091,"70th Ave E & 26th St E",,47.233802,-122.336296,,,,,,1
19941,4092,"South Hill P&R - Bay 1",,47.161187,-122.304395,,,,,,1
18364,4093,"Ainsworth Ave S & 112th St S",,47.155442,-122.455298,,,,,,1
29891,4094,"Milton Wy & Fife Way",,47.240270,-122.326952,,,,,,1
14743,4095,"Milton Wy & 20th St E",,47.239138,-122.327630,,,,,,1
14161,4097,"Ainsworth Ave S & 102nd St S",,47.164547,-122.455476,,,,,,1
31100,4098,"Ainsworth Ave S & 101st St S",,47.165601,-122.455297,,,,,,1
3771,4114,"112th St E & 58th Ave E",,47.154462,-122.353278,,,,,,1
31174,4115,"112th St E & 58th Ave E",,47.154526,-122.354125,,,,,,1
19358,4116,"N 21st St & Junett St",,47.267467,-122.474387,,,,,,1
10625,4124,"23rd Ave S & S 322nd St",,47.312534,-122.303490,,,,,,1
7805,4125,"108th St SW & Rowland Ave SW",,47.159313,-122.488664,,,,,,1
10919,4126,"59th Ave SW & Main St",,47.162524,-122.515825,,,,,,1
7131,4128,"Emerson St & Kootnai St W",,47.220957,-122.515233,,,,,,1
17677,4129,"9th St SW & 30th Ave SW",,47.163063,-122.304188,,,,,,1
17059,4130,"188th St S & Military Rd S",,47.433768,-122.273861,,,,,,1
18598,4131,"188th St S & 46th Ave S",,47.434264,-122.275593,,,,,,1
19184,4133,"Pacific Ave & S 17th St",,47.247566,-122.437303,,,,,,1
31253,4134,"112th St E & A St E",,47.155328,-122.430085,,,,,,1
27336,4135,"112th St E & D St E",,47.155406,-122.428476,,,,,,1
30125,4136,"28th Ave S & S Christy's Crossing Dr",,47.262834,-122.297892,,,,,,1
25663,4137,"28th Ave S & S Christy's Crossing Dr",,47.263792,-122.298006,,,,,,1
21896,4144,"Proctor St N & N 12th St",,47.260628,-122.488894,,,,,,1
3982,4145,"Alaska St S & S 49th St",,47.212339,-122.458403,,,,,,1
30017,4146,"Alaska St S & S 49th St",,47.212421,-122.458265,,,,,,1
30893,4151,"16th Ave S & S 344th St",,47.292923,-122.313565,,,,,,1
18004,4154,"16th Ave S & S 347th Pl",,47.291028,-122.313424,,,,,,1
23347,4157,"Bridgeport Way W & 54th St W",,47.207819,-122.534480,,,,,,1
4052,4166,"Bridgeport Way SW & Pacific Hwy",,47.150323,-122.504477,,,,,,1
13268,4168,"Meridian N & Spencer",,47.209366,-122.293999,,,,,,1
30976,4169,"Meridian N & Spencer",,47.209316,-122.293841,,,,,,1
27454,4170,"Tacoma Dome Station - Zone B",,47.240967,-122.425724,,,,,,1
12938,4171,"Tacoma Dome Station - Zone C",,47.241008,-122.425334,,,,,,1
20163,4172,"Tacoma Dome Station - Zone E",,47.240805,-122.426106,,,,,,1
6234,4173,"Tacoma Dome Station - Zone D",,47.240857,-122.425418,,,,,,1
13303,4174,"72nd St TC",,47.192287,-122.410978,,,,,,1
16005,4175,"72nd St TC",,47.192461,-122.411019,,,,,,1
14237,4176,"72nd St TC",,47.192616,-122.410986,,,,,,1
7932,4177,"72nd St TC",,47.192636,-122.410619,,,,,,1
21040,4181,"South Hill Mall TC",,47.155393,-122.299629,,,,,,1
15476,4183,"South Hill Mall TC",,47.155363,-122.298896,,,,,,1
22928,4184,"South Hill Mall TC",,47.155124,-122.299061,,,,,,1
7444,4186,"Parkland TC",,47.147939,-122.435360,,,,,,1
18824,4187,"Parkland TC",,47.148177,-122.435355,,,,,,1
18694,4191,"Lakewood TC",,47.165449,-122.512655,,,,,,1
10832,4193,"Lakewood TC",,47.165250,-122.513145,,,,,,1
25949,4195,"Lakewood TC",,47.165196,-122.513411,,,,,,1
18992,4196,"Lakewood TC",,47.165317,-122.513232,,,,,,1
15131,4198,"Lakewood TC",,47.165524,-122.512825,,,,,,1
18587,4199,"Lakewood TC",,47.165568,-122.512556,,,,,,1
37,42,"10th St SE & 43rd Ave SE",,47.151763,-122.281625,,,,,,1
28376,4200,"TCC TC",,47.243155,-122.525960,,,,,,1
