stop_id,stop_name,stop_lat,stop_lon,stop_code,wheelchair_boarding
218,EVERGREEN WAY & 6500 BLK - SB,47.938950,-122.218468,3630,2
219,EVERGREEN WAY & MADISON ST - SB,47.934795,-122.219566,3625,2
22,E MUKILTEO BLVD & 42ND ST - EB,47.962128,-122.219803,3040,2
220,EVERGREEN WAY & 73RD - SB,47.931755,-122.220398,3620,2
221,EVERGREEN WAY & 75TH ST SE - SB,47.929874,-122.221085,3615,2
222,EVERGREEN WAY & BRUIN BLVD - SB,47.927605,-122.222954,3610,2
223,EVERGREEN WAY & 79TH PL SE - SB,47.925571,-122.224854,1367,2
224,EVERGREEN WAY & E CASINO RD - SB,47.920998,-122.229095,5125,2
225,EVERGREEN WAY & 86TH - SB,47.918808,-122.231155,5136,2
226,EVERGREEN WAY & HOLLY DR - SB,47.917252,-122.232597,5150,2
227,EVERGREEN WAY & 92ND ST SW - SB,47.913776,-122.235863,5160,2
228,EVERGREEN WAY & W INTERCITY AVE - SB,47.912216,-122.237320,5175,2
229,EVERGREEN WAY & 4TH AVE W - SB,47.909752,-122.239639,5185,2
23,41ST ST & RUCKER AVE - EB,47.963127,-122.212364,3020,2
230,EVERGREEN WAY & 100TH ST SW - SB,47.906776,-122.242386,5190,2
231,SW EVERETT MALL WAY & 4TH AVE W - EB,47.905766,-122.237236,6245,2
232,SE EVERETT MALL WAY & MERIDIAN AVE - EB,47.906902,-122.232994,6238,2
233,SE EVERETT MALL WAY & 3RD AVE SE - EB,47.908295,-122.227669,6225,2
234,SE EVERETT MALL WAY & 7TH AVE SE - EB,47.909824,-122.221939,6090,2
235,SE EVERETT MALL WAY & 11TH AVE SE - EB,47.910736,-122.218552,6100,2
236,100TH ST & WEST MALL DR - EB - DROP OFF ONLY,47.907787,-122.216728,6397,2
23625,8TH & RIVERSIDE RD - NB,48.007455,-122.184499,1985,2
237,AIRPORT RD & EVERGREEN WAY - NB,47.890736,-122.259171,5288,2
238,112TH ST SW & AIRPORT RD - EB,47.896416,-122.262329,5217,2
239,112TH ST SW & 17TH CT SW - EB,47.896370,-122.255844,5213,2
24,COLBY AVE & 41ST ST - NB,47.964035,-122.207886,1543,2
240,EVERGREEN WAY & 112TH ST SW - NB,47.897388,-122.250786,6295,2
241,100TH ST SW & EVERGREEN WAY - WB,47.907379,-122.243103,5215,2
242,100TH ST SW & HOLLY DR - WB,47.907379,-122.247772,5220,2
243,100TH ST SW & 12TH AVE W - WB,47.907379,-122.250320,5225,2
244,100TH ST SW & 15TH AVE W - WB,47.907433,-122.254463,5230,2
245,100TH ST SW & 18TH AVE W - WB,47.907475,-122.257668,5235,2
246,100TH ST SW & 23RD AVE W - WB,47.907562,-122.266144,5240,2
247,100TH ST SW & AIRPORT RD - WB,47.907578,-122.269051,5245,2
248,100TH ST SW & 29TH AVE W - WB,47.907719,-122.273933,7025,2
249,PAINE FIELD AIRPORT TERMINAL - EB,47.908218,-122.277496,7030,2
25,COLBY AVE & 39TH ST - NB,47.966278,-122.207977,1515,2
250,AIRPORT RD & 94TH ST SW - NB,47.913815,-122.271484,5011,2
251,AIRPORT RD & KASCH PARK RD - NB,47.917892,-122.271492,5007,2
252,75TH ST SW & SEAWAY BLVD - EB,47.930801,-122.260010,3473,2
253,75TH ST SW & 16TH AVE W - EB,47.929573,-122.254890,3677,2
254,HARDESON ROAD & 75TH ST SW - SB,47.929260,-122.246773,7125,2
255,HARDESON RD & 77TH - SB,47.927887,-122.243233,3710,2
256,HARDESON RD & 80TH ST SW - SB,47.925140,-122.240776,3715,2
257,W CASINO RD & UPPER RIDGE RD - EB,47.921810,-122.238983,5090,2
258,W CASINO RD & 2ND AVE W - EB,47.921776,-122.236473,5100,2
259,E CASINO RD & EVERGREEN WAY - EB,47.921848,-122.230515,5115,2
26,COLBY AVE & 36TH ST - NB,47.970165,-122.208138,1505,2
260,E CASINO RD & EVERGREEN WAY - EB,47.921860,-122.226685,5132,2
261,E CASINO RD & 8TH AVE SE - EB,47.923031,-122.221420,4280,2
262,E CASINO RD & XAVIER WAY - EB,47.925068,-122.216927,4260,2
263,E CASINO RD & RAINIER DR - EB,47.926079,-122.214714,4245,2
264,E CASINO RD & HIGHLAND DR - NB,47.927647,-122.212585,4240,2
265,BEVERLY BLVD & 75TH ST SE - NB,47.929947,-122.211914,4235,2
266,BEVERLY BLVD & 72ND ST SE - NB,47.932911,-122.212456,4143,2
267,BEVERLY BLVD & MADISON - NB,47.936768,-122.210182,4120,2
268,BEVERLY BLVD & PALM AVE - NB,47.938122,-122.209099,4110,2
269,BEVERLY BLVD & WETMORE AVE - NB,47.940952,-122.206894,4100,2
27,COLBY AVE & 34TH ST - NB,47.972862,-122.208275,1495,2
270,COLBY AVE & 60TH ST SE - NB,47.943569,-122.206703,4090,2
271,COLBY AVE & 55TH ST SE - NB,47.947887,-122.206551,4075,2
272,COLBY AVE & 52ND ST SE - NB,47.949978,-122.206566,3330,2
273,COLBY AVE & ALTA DR - NB,47.951969,-122.206909,3305,2
274,COLBY AVE & 47TH ST SE - NB,47.956108,-122.207603,3295,2
275,COLBY AVE & 43RD ST SE - NB,47.961189,-122.207764,3260,2
276,BROADWAY & 38TH ST - NB,47.967754,-122.200974,2364,2
277,BROADWAY & 36TH ST - NB,47.970451,-122.201111,1552,2
278,BROADWAY & 33rd ST - NB,47.973843,-122.201309,2365,2
279,BROADWAY & 34TH ST - SB,47.972881,-122.201485,2367,2
28,COLBY AVE & 32ND ST - NB,47.975498,-122.208374,1485,2
280,BROADWAY & 36TH ST - SB,47.970406,-122.201363,1553,2
281,BROADWAY & 38TH ST - SB,47.967155,-122.201233,2366,2
282,COLBY AVE & 41ST ST - SB,47.962830,-122.208038,3000,2
283,MUKILTEO STATION BAY 2,47.950451,-122.295937,3265,2
284,SOUNDER STATION WB,47.949234,-122.298721,3275,2
285,COLBY AVE & 47TH ST SE - SB,47.955601,-122.207680,3300,2
286,COLBY AVE & 50TH ST SE - SB,47.951515,-122.207016,3310,2
287,COLBY AVE & 52ND ST SE - SB,47.949081,-122.206673,4070,2
288,COLBY AVE & FAIRFAX AVE - SB,47.945900,-122.206749,4085,2
289,COLBY AVE & 60TH ST SE - SB,47.943062,-122.206886,4095,2
29,WETMORE AVE & WALL ST - NB,47.977322,-122.207115,2466,2
290,BEVERLY BLVD & 63RD ST SE - SB,47.939987,-122.207764,4105,2
291,BEVERLY BLVD & PALM AVE - SB,47.937820,-122.209534,4115,2
292,BEVERLY BLVD & MADISON - SB,47.935989,-122.211060,4130,2
293,BEVERLY BLVD & 72ND ST SE - SB,47.933014,-122.212624,4155,2
294,BEVERLY BLVD & 75TH ST SE - SB,47.929821,-122.212059,4230,2
295,E CASINO RD & HIGHLAND DR - SB,47.927341,-122.212830,4239,2
296,E  CASINO RD & RAINIER DR - WB,47.925854,-122.215561,4250,2
297,E CASINO RD & XAVIER WAY - WB,47.925076,-122.217201,4255,2
298,E CASINO RD & 8TH AVE SE - WB,47.923267,-122.221207,4270,2
299,E CASINO RD & EVERGREEN WAY - WB,47.922031,-122.226761,7105,2
3,SEAWAY BLVD & FLUKE DR - NB,47.935009,-122.261711,3485,2
30,WETMORE AVE & HEWITT AVE - NB,47.978912,-122.207161,1360,2
300,E CASINO RD & EVERGREEN WAY - WB,47.922012,-122.228851,5120,2
301,E CASINO RD & MERIDIAN AVE - WB,47.922009,-122.233253,5110,2
302,W CASINO RD & 2ND AVE W - WB,47.921951,-122.236099,5105,2
303,W CASINO RD & UPPER RIDGE RD - WB,47.921967,-122.237831,5095,2
30337,COLBY AVE & 13TH ST - NB,48.000523,-122.207977,1140,2
30357,SEAWAY TRANSIT CENTER - BAY 8 - SB,47.930309,-122.259804,3188,2
30358,SEAWAY TRANSIT CENTER - BAY 9 - SB,47.930084,-122.259567,3189,2
30360,6TH & RIVERSIDE RD - NB,48.009836,-122.185513,1980,2
304,HARDESON RD & UPPER RIDGE RD - NB,47.924438,-122.240356,3720,2
305,HARDESON RD & 77TH - NB,47.928051,-122.243332,3705,2
306,HARDESON RD & VERALENE WAY - NB,47.929424,-122.246780,3484,2
307,75TH ST SW & 16TH AVE W - WB,47.929714,-122.255386,3676,2
308,AIRPORT RD & W CASINO RD - SB,47.920246,-122.271919,2484,2
309,AIRPORT RD & KASCH PARK RD - SB,47.917839,-122.271828,2913,2
31,WETMORE AVE & EVERETT AVE - NB,47.981300,-122.207146,1295,2
310,AIRPORT RD & 94TH ST SW - SB,47.913704,-122.271858,2668,2
311,100TH ST SW & AIRPORT RD - EB,47.907478,-122.268600,7040,2
312,100TH ST SW & 23RD AVE W - EB,47.907478,-122.263939,7045,2
313,100TH ST SW & DAKOTA WAY - EB,47.907410,-122.257301,7050,2
314,100TH ST SW & 12TH AVE W - EB,47.907318,-122.249489,7055,2
315,EVERGREEN WAY & OLIVIA PARK RD - SB,47.903507,-122.245445,5195,2
316,EVERGREEN WAY & 108TH ST SW - SB,47.900677,-122.248108,5200,2
317,EVERGREEN WAY & 110TH ST SW - SB,47.898159,-122.250504,5205,2
318,EVERGREEN WAY & 112TH ST SW - SB,47.895325,-122.253098,5210,2
319,EVERGREEN WAY & 116TH - SB,47.892780,-122.255669,5310,2
32,EVERETT AVE & OAKES AVE - EB,47.981819,-122.203979,1305,2
321,W CASINO RD & AIRPORT RD - EB,47.920021,-122.269264,5005,2
322,W CASINO RD & 23RD AVE W - EB,47.919971,-122.264893,5020,2
323,W CASINO RD & 84TH ST SW - EB,47.921185,-122.262634,5030,2
324,W CASINO RD & 18TH AVE W - EB,47.921799,-122.257439,5040,2
325,W CASINO RD & SOMERSET DR - EB,47.921753,-122.252716,5045,2
326,W CASINO RD & HALL PARK RD - EB,47.921722,-122.250572,5055,2
327,W CASINO RD & 10TH AVE W - EB,47.921734,-122.247215,5065,2
328,W CASINO RD & 8TH AVE W - EB,47.921757,-122.243141,5075,2
329,W CASINO RD & 5TH AVE W - EB,47.921753,-122.241058,5087,2
33,EVERETT AVE & BROADWAY - EB,47.981815,-122.200935,2245,2
330,7TH AVE SE & 84TH ST SE - SB,47.921455,-122.223000,6000,2
331,7TH AVE SE & 87TH ST SE - SB,47.918819,-122.222954,6035,2
332,7TH AVE SE & 90TH PL SE - SB,47.916317,-122.223541,6045,2
333,7TH AVE SE & 92ND ST SE - SB,47.914772,-122.223488,6060,2
334,7TH AVE SE & 94TH ST SE - SB,47.912720,-122.223442,6070,2
335,7TH AVE SE & SE EVERETT MALL WAY - SB,47.910603,-122.223427,6075,2
336,MALL STATION - BAY 2,47.907703,-122.213547,6394,2
337,7TH AVE SE & SE EVERETT MALL WAY - NB,47.910160,-122.223236,6085,2
338,7TH AVE SE & 93RD ST SE - NB,47.913200,-122.223297,6065,2
339,7TH AVE SE & 92ND ST SE - NB,47.914955,-122.223328,6055,2
34,EVERETT AVE & BAKER AVE - EB,47.981750,-122.196037,2270,2
340,7TH AVE SE & 90TH PL SE - NB,47.916805,-122.223366,6050,2
341,7TH AVE SE & 87TH ST SE - NB,47.919041,-122.222794,6040,2
342,7TH AVE SE & 84TH ST SE - NB,47.921528,-122.222855,6005,2
343,W CASINO RD & 5TH AVE W - WB,47.921921,-122.241608,5085,2
344,W CASINO RD & 8TH AVE W - WB,47.921906,-122.243462,5080,2
345,W CASINO RD & 10TH AVE W - WB,47.921867,-122.246834,5070,2
346,W CASINO RD & HALL PARK RD - WB,47.921867,-122.250206,5060,2
347,W CASINO RD & SOMERSET DR - WB,47.921883,-122.253006,5050,2
348,W CASINO RD & 18TH AVE W - WB,47.921936,-122.258553,5035,2
349,W CASINO RD & 84TH ST SW - WB,47.921093,-122.262970,5025,2
35,CEDAR ST & HEWITT AVE - SB,47.978661,-122.193924,2906,2
350,W CASINO RD & 23RD AVE W - WB,47.920109,-122.265091,5015,2
351,W CASINO RD & AIRPORT RD - WB,47.920166,-122.270279,5000,2
353,SR 525 & 3RD ST - SB,47.946510,-122.304108,1455,2
36,PACIFIC AVE & FULTON ST - WB,47.976845,-122.194786,2325,2
367,W MUKILTEO BLVD & GLENWOOD AVE - EB,47.957150,-122.247177,3105,2
368,W MUKILTEO BLVD & SEAHURST AVE - EB,47.958958,-122.242836,3095,2
369,W MUKILTEO BLVD & GLENHAVEN DR - EB,47.957287,-122.239967,3090,2
37,EVERETT STATION - D4,47.974228,-122.197594,2441,2
370,EVERETT STATION - I1,47.973289,-122.197113,2450,2
371,W MUKILTEO BLVD & OLYMPIC BLVD - WB,47.956841,-122.232124,3070,2
372,W MUKILTEO BLVD & RIDGEMONT  DR - WB,47.957317,-122.239677,3085,2
373,W MUKILTEO BLVD & SEAHURST AVE - WB,47.959324,-122.243011,3100,2
374,W MUKILTEO BLVD & GLENWOOD AVE - WB,47.957138,-122.247406,3110,2
38,CEDAR ST & HEWITT  - NB,47.978508,-122.193848,3006,2
389,100TH ST SE & 100TH PL SE - WB,47.907482,-122.218002,6310,2
39,EVERETT AVE & CEDAR ST - WB,47.981907,-122.194191,2275,2
390,100TH ST SE & 7TH AVE SE - WB,47.907463,-122.222733,6305,2
391,7TH AVE SE & 103RD PL SE - SB,47.904438,-122.223305,6315,2
392,7TH AVE SE & 105TH PL SE - SB,47.901779,-122.223228,6320,2
393,7TH AVE SE & 110TH ST SE - SB,47.898098,-122.223152,6325,2
394,112TH ST SE & 7TH AVE SE - EB,47.896351,-122.222120,6330,2
395,South Everett Freeway Station - Bay 4,47.899593,-122.214027,6332,2
