route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q48,CS_C4-Weekday,CS_C4-Weekday-095400_MISC_415,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-090700_MISC_415,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-092700_MISC_438,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-093400_Q48_802,FLUSHING MAIN ST STATION,0,35931334,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-086900_MISC_402,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-091100_Q48_804,FLUSHING MAIN ST STATION,0,35931336,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-089000_MISC_438,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-088700_Q48_802,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-084700_MISC_438,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-099400_MISC_452,FLUSHING MAIN ST STATION,0,35931494,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-094700_MISC_452,LAGUARDIA AIRPORT,1,35931494,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-097400_MISC_438,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-132000_MISC_507,LAGUARDIA AIRPORT,1,35931345,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-136100_MISC_507,FLUSHING MAIN ST STATION,0,35931345,Q480040
Q44+,CS_C4-Weekday-BM,CS_C4-Weekday-BM-138500_SBS44_901,SELECT BUS BRONX ZOO via MAIN ST,0,35931166,SBS440148
Q44+,CS_C4-Weekday-BM,CS_C4-Weekday-BM-141500_SBS44_902,SELECT BUS BRONX ZOO via MAIN ST,0,35931167,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-000500_SBS44_903,SELECT BUS BRONX ZOO via MAIN ST,0,35931168,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-004500_SBS44_904,SELECT BUS BRONX ZOO via MAIN ST,0,35931169,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-009500_SBS44_905,SELECT BUS BRONX ZOO via MAIN ST,0,35931170,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-012500_SBS44_906,SELECT BUS BRONX ZOO via MAIN ST,0,35931171,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-015500_SBS44_907,SELECT BUS BRONX ZOO via MAIN ST,0,35931172,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-019900_SBS44_909,SELECT BUS BRONX ZOO via MAIN ST,0,35931175,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-018500_SBS44_908,SELECT BUS BRONX ZOO via MAIN ST,0,35931173,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-022900_SBS44_902,SELECT BUS BRONX ZOO via MAIN ST,0,35931178,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-021500_SBS44_901,SELECT BUS BRONX ZOO via MAIN ST,0,35931174,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-025400_SBS44_903,SELECT BUS BRONX ZOO via MAIN ST,0,35931181,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-023500_SBS44_910,SELECT BUS BRONX ZOO via MAIN ST,0,35931176,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-027400_SBS44_904,SELECT BUS BRONX ZOO via MAIN ST,0,35931184,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-025500_SBS44_911,SELECT BUS BRONX ZOO via MAIN ST,0,35931177,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-027000_SBS44_912,SELECT BUS BRONX ZOO via MAIN ST,0,35931179,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-030500_SBS44_919,SELECT BUS BRONX ZOO via MAIN ST,0,35931188,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-028000_SBS44_913,SELECT BUS BRONX ZOO via MAIN ST,0,35931180,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-029000_SBS44_914,SELECT BUS BRONX ZOO via MAIN ST,0,35931182,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-032500_SBS44_922,SELECT BUS BRONX ZOO via MAIN ST,0,35931191,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-030000_SBS44_915,SELECT BUS BRONX ZOO via MAIN ST,0,35931183,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-033500_SBS44_923,SELECT BUS BRONX ZOO via MAIN ST,0,35931194,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-031000_SBS44_916,SELECT BUS BRONX ZOO via MAIN ST,0,35931185,SBS440148
Q44+,CS_C4-Weekday,CS_C4-Weekday-034400_SBS44_925,SELECT BUS BRONX ZOO via MAIN ST,0,35931196,SBS440090
Q44+,CS_C4-Weekday,CS_C4-Weekday-031800_SBS44_917,SELECT BUS BRONX ZOO via MAIN ST,0,35931186,SBS440148
