route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,peak_offpeak,boarding_type
94,t717-b24BD-sl3,3,To Yelm Walmart,0,9405,3,1,0.0,1,0,0
13,t717-b515-sl3,3,To Labor and Industries,0,1301,10,1,0.0,1,0,0
13,t717-b516-sl2,2,To Labor and Industries,0,1302,10,1,0.0,1,0,0
64,t71A-b1196-sl2,2,To Olympia Transit Center,1,4502,37,1,0.0,1,0,0
621,t71A-b1840-sl2,2,To Northeast Lacey,0,6208,0,1,0.0,1,0,0
621,t71A-b1840-sl3,3,To Northeast Lacey,0,6208,0,1,0.0,1,0,0
64,t71A-b1902-sl3,3,To Olympia Transit Center,1,6402,37,1,0.0,1,0,0
620,t71C-b26C3-sl2,2,To Olympia Transit Center,1,9923,22,1,0.0,1,0,0
65,t71E-b1A93-sl3,3,To Lacey Transit Center,1,6803,29,1,0.0,1,0,0
65,t71E-b1A95-sl2,2,To Lacey Transit Center,1,6805,29,1,0.0,1,0,0
13,t720-b517-sl2,2,To Olympia Transit Center,1,1303,17,1,0.0,1,0,0
68,t722-b1A96-sl2,2,To Capital Mall,0,6806,12,1,0.0,1,0,0
68,t722-b1A97-sl3,3,To Capital Mall,0,6807,12,1,0.0,1,0,0
622,t724-b183F-sl2,2,To Olympia Transit Center,1,6207,19,1,0.0,1,0,0
622,t724-b183F-sl3,3,To Olympia Transit Center,1,6207,19,1,0.0,1,0,0
66,t724-b19C9-sl2,2,To Olympia Transit Center,1,6601,18,1,0.0,1,0,0
66,t724-b19CC-sl3,3,To Olympia Transit Center,1,6604,18,1,0.0,1,0,0
41,t726-b1005-sl2,2,To Evergreen St College,0,4101,1,1,0.0,1,0,0
41,t726-b1006-sl3,3,To Evergreen St College,0,4102,1,1,0.0,1,0,0
60,t726-b1771-sl3,3,To Panorama,0,6001,7,1,0.0,1,0,0
47,t726-b1772-sl2,2,To Capital Mall,0,6002,14,1,0.0,1,0,0
60,t726-b1774-sl2,2,To Panorama,0,6004,7,1,0.0,1,0,0
622,t726-b183A-sl3,3,To The Meadows,0,6202,11,1,0.0,1,0,0
622,t726-b183B-sl2,2,To The Meadows,0,6203,11,1,0.0,1,0,0
65,t726-b1A91-sl2,2,To 41st Avenue,0,6801,8,1,0.0,1,0,0
65,t726-b1A96-sl3,3,To 41st Avenue,0,6806,8,1,0.0,1,0,0
12,t726-b4B1-sl2,2,To Labor and Industries,0,1201,27,1,0.0,1,0,0
12,t726-b4B3-sl3,3,To Labor and Industries,0,1203,27,1,0.0,1,0,0
41,t729-b1005-sl3,3,To Olympia Transit Center,1,4101,25,1,0.0,1,0,0
41,t729-b1006-sl2,2,To Olympia Transit Center,1,4102,25,1,0.0,1,0,0
42,t729-b1069-sl2,2,To Olympia Transit Center,1,4201,40,1,0.0,1,0,0
94,t72A-b24BA-sl2,2,To Olympia Transit Center,1,9402,31,1,0.0,1,0,0
94,t72A-b24BA-sl3,3,To Olympia Transit Center,1,9402,31,1,0.0,1,0,0
45,t72C-b1197-sl2,2,To Olympia Transit Center,1,4503,16,1,0.0,1,0,0
