shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
990005:99913,6035,47.577465,-122.316376,55775.17
990005:99913,6036,47.577579,-122.316048,55865.57
990005:99913,6037,47.578453,-122.313599,56547.57
990005:99913,6038,47.578629,-122.313110,56684.47
990005:99913,6039,47.578800,-122.312561,56833.47
990005:99913,6040,47.579186,-122.311317,57170.17
990005:99913,6041,47.579582,-122.310020,57525.27
990005:99913,6042,47.579643,-122.309814,57578.57
990005:99913,6043,47.579697,-122.309608,57632.67
990005:99913,6044,47.579735,-122.309418,57680.77
990005:99913,6045,47.579773,-122.309212,57735.67
990005:99913,6046,47.579800,-122.309021,57783.67
990005:99913,6047,47.579830,-122.308807,57838.67
990005:99913,6048,47.579845,-122.308571,57893.57
990005:99913,6049,47.579857,-122.308357,57948.57
990005:99913,6050,47.579861,-122.308136,58003.47
990005:99913,6051,47.579857,-122.307915,58058.37
990005:99913,6052,47.579838,-122.307716,58106.37
990005:99913,6053,47.579819,-122.307495,58161.37
990005:99913,6054,47.579800,-122.307304,58209.37
990005:99913,6055,47.579773,-122.307083,58264.37
990005:99913,6056,47.579735,-122.306908,58312.37
990005:99913,6057,47.579685,-122.306686,58367.27
990005:99913,6058,47.579620,-122.306427,58435.47
990005:99913,6059,47.579529,-122.306145,58515.47
990005:99913,6060,47.578587,-122.303329,59288.77
990005:99913,6061,47.578503,-122.303070,59360.07
990005:99913,6062,47.578434,-122.302834,59421.67
990005:99913,6063,47.578339,-122.302429,59528.47
990005:99913,6064,47.578243,-122.302017,59637.37
990005:99913,6065,47.578190,-122.301659,59724.77
990005:99913,6066,47.577999,-122.300156,60105.27
990005:99913,6067,47.577927,-122.299629,60236.37
990005:99913,6068,47.577896,-122.299446,60283.47
990005:99913,6069,47.577873,-122.299324,60314.67
990005:99913,6070,47.577835,-122.299202,60346.97
990005:99913,6071,47.577805,-122.299095,60378.17
990005:99913,6072,47.577763,-122.298981,60406.87
990005:99913,6073,47.577717,-122.298874,60439.07
990005:99913,6074,47.577656,-122.298767,60475.97
990005:99913,6075,47.577599,-122.298653,60508.17
990005:99913,6076,47.577526,-122.298546,60544.97
990005:99913,6077,47.577461,-122.298462,60577.17
990005:99913,6078,47.577381,-122.298370,60613.97
990005:99913,6079,47.577301,-122.298302,60646.27
990005:99913,6080,47.577210,-122.298218,60686.17
990005:99913,6081,47.576466,-122.297661,60991.77
990005:99913,6082,47.575829,-122.297165,61253.47
990005:99913,6083,47.575645,-122.297058,61326.67
990005:99913,6084,47.575451,-122.296959,61400.07
990005:99913,6085,47.575344,-122.296921,61439.57
990005:99913,6086,47.575226,-122.296890,61484.67
990005:99913,6087,47.575100,-122.296867,61529.77
990005:99913,6088,47.574982,-122.296852,61574.87
990005:99913,6089,47.574825,-122.296852,61631.07
990005:99913,6090,47.573299,-122.296883,62188.97
990005:99913,6091,47.570610,-122.296921,63169.77
990005:99913,6092,47.568474,-122.296906,63947.97
990005:99913,6093,47.568180,-122.296906,64056.47
990005:99913,6094,47.567291,-122.296959,64377.27
990005:99913,6095,47.567120,-122.296974,64441.67
990005:99913,6096,47.566944,-122.296959,64506.27
990005:99913,6097,47.566765,-122.296951,64570.77
990005:99913,6098,47.566601,-122.296906,64635.37
990005:99913,6099,47.566421,-122.296867,64699.97
990005:99913,6100,47.566265,-122.296814,64757.47
990005:99913,6101,47.566116,-122.296745,64814.87
990005:99913,6102,47.565964,-122.296661,64872.37
990005:99913,6103,47.565811,-122.296577,64933.87
990005:99913,6104,47.559360,-122.292496,67492.97
990005:99913,6105,47.559048,-122.292305,67615.17
990005:99913,6106,47.556816,-122.290886,68502.17
990005:99913,6107,47.555954,-122.290367,68843.57
990005:99913,6108,47.555649,-122.290184,68959.67
990005:99913,6109,47.555447,-122.290092,69040.47
990005:99913,6110,47.554375,-122.289612,69447.77
990005:99913,6111,47.553963,-122.289421,69604.17
990005:99913,6112,47.551331,-122.288155,70614.67
990005:99913,6113,47.549553,-122.287292,71298.47
990005:99913,6114,47.546642,-122.285896,72415.27
990005:99913,6115,47.545429,-122.285286,72881.87
990005:99913,6116,47.540833,-122.283066,74645.57
990005:99913,6117,47.537556,-122.281372,75910.37
990005:99913,6118,47.537102,-122.281143,76084.77
990005:99913,6119,47.536839,-122.281021,76187.77
990005:99913,6120,47.536644,-122.280952,76259.17
990005:99913,6121,47.536453,-122.280899,76330.67
990005:99913,6122,47.536259,-122.280853,76402.17
990005:99913,6123,47.536068,-122.280830,76473.57
990005:99913,6124,47.535900,-122.280815,76533.47
990005:99913,6125,47.535732,-122.280800,76594.97
990005:99913,6126,47.529778,-122.280693,78766.67
990005:99913,6127,47.529449,-122.280663,78885.47
990005:99913,6128,47.529140,-122.280624,78999.27
990005:99913,6129,47.528957,-122.280571,79069.27
990005:99913,6130,47.528767,-122.280518,79139.27
990005:99913,6131,47.528557,-122.280434,79218.07
990005:99913,6132,47.528370,-122.280365,79287.97
990005:99913,6133,47.525982,-122.279152,80210.67
990005:99913,6134,47.525787,-122.279053,80285.17
990005:99913,6135,47.525635,-122.278999,80342.97
990005:99913,6136,47.525475,-122.278946,80400.77
990005:99913,6137,47.525322,-122.278900,80458.47
990005:99913,6138,47.525166,-122.278877,80516.27
990005:99913,6139,47.524971,-122.278862,80588.47
990005:99913,6140,47.524769,-122.278862,80660.77
990005:99913,6141,47.524571,-122.278877,80732.97
990005:99913,6142,47.524372,-122.278900,80805.27
990005:99913,6143,47.524166,-122.278961,80881.37
990005:99913,6144,47.523292,-122.279221,81206.97
990005:99913,6145,47.522514,-122.279419,81497.67
990005:99913,6146,47.522251,-122.279488,81592.77
990005:99913,6147,47.521679,-122.279640,81805.27
990005:99913,6148,47.520859,-122.279861,82109.87
990005:99913,6149,47.520641,-122.279915,82190.27
990005:99913,6150,47.520348,-122.279968,82298.07
990005:99913,6151,47.520027,-122.279999,82414.87
990005:99913,6152,47.519852,-122.279999,82477.67
990005:99913,6153,47.519688,-122.279999,82540.57
990005:99913,6154,47.519486,-122.279968,82612.47
990005:99913,6155,47.519314,-122.279953,82675.37
990005:99913,6156,47.519020,-122.279884,82783.07
990005:99913,6157,47.518547,-122.279747,82960.57
990005:99913,6158,47.517834,-122.279549,83224.67
990005:99913,6159,47.517231,-122.279396,83445.67
990005:99913,6160,47.516693,-122.279274,83646.47
990005:99913,6161,47.515656,-122.279068,84026.67
990005:99913,6162,47.515411,-122.279022,84116.77
990005:99913,6163,47.514549,-122.278931,84432.27
990005:99913,6164,47.513725,-122.278877,84732.67
990005:99913,6165,47.513424,-122.278847,84844.47
990005:99913,6166,47.512222,-122.278671,85283.47
990005:99913,6167,47.510654,-122.278481,85859.67
990005:99913,6168,47.510334,-122.278450,85976.17
990005:99913,6169,47.510006,-122.278435,86093.47
990005:99913,6170,47.509323,-122.278427,86345.07
990005:99913,6171,47.509174,-122.278427,86397.97
990005:99913,6172,47.509060,-122.278435,86440.67
990005:99913,6173,47.508926,-122.278481,86489.97
990005:99913,6174,47.508781,-122.278519,86544.67
990005:99913,6175,47.508633,-122.278587,86599.37
990005:99913,6176,47.508511,-122.278671,86648.57
990005:99913,6177,47.508362,-122.278778,86708.77
990005:99913,6178,47.508236,-122.278893,86763.47
990005:99913,6179,47.508102,-122.279037,86823.67
990005:99913,6180,47.507988,-122.279175,86878.37
990005:99913,6181,47.507877,-122.279350,86938.47
990005:99913,6182,47.507778,-122.279533,86993.27
990005:99913,6183,47.507679,-122.279724,87053.37
990005:99913,6184,47.507610,-122.279915,87108.07
990005:99913,6185,47.507523,-122.280174,87179.17
990005:99913,6186,47.507458,-122.280449,87250.27
