route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B82,EN_C4-Saturday,EN_C4-Saturday-026000_B82_604,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166940,B820069
Q24,EN_C4-Saturday,EN_C4-Saturday-026000_Q24_402,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,36167083,Q240239
B15,EN_C4-Saturday,EN_C4-Saturday-026400_B15_108,JFK AIRPORT,0,36167156,B150033
B12,EN_C4-Saturday,EN_C4-Saturday-027000_B12_4,EAST NEW YORK ALABAMA AV,0,36167115,B120019
B17,EN_C4-Saturday,EN_C4-Saturday-027000_B17_751,CROWN HEIGHTS EASTERN PKY,0,36166827,B170993
B42,EN_C4-Saturday,EN_C4-Saturday-027000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
Q24,EN_C4-Saturday,EN_C4-Saturday-027300_B12_6,JAMAICA 168 ST via ATLANTIC,0,36167093,Q240242
B15,EN_C4-Saturday,EN_C4-Saturday-027300_B15_111,JFK AIRPORT,0,36167122,B150033
B15,EN_C4-Saturday,EN_C4-Saturday-027400_B15_110,BED-STUY WOODHULL HOSPITAL,1,36167133,B150031
B12,EN_C4-Saturday,EN_C4-Saturday-027500_B25_202,LEFFERTS GARDENS OCEAN AV,1,36167114,B120015
B83,EN_C4-Saturday,EN_C4-Saturday-027700_B25_203,SPRING CREEK GATEWAY MALL,1,36167257,B830002
B42,EN_C4-Saturday,EN_C4-Saturday-028000_B42_502,CANARSIE PIER,1,36166931,B420005
B65,EN_C4-Saturday,EN_C4-Saturday-028000_B65_851,DOWNTOWN BKLYN FULTON MALL,1,36166985,B650004
B82,EN_C4-Saturday,EN_C4-Saturday-028000_B82_602,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166913,B820075
B82,EN_C4-Saturday,EN_C4-Saturday-028000_B82_605,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166939,B820069
Q56,EN_C4-Saturday,EN_C4-Saturday-028000_Q56_451,JAMAICA 170 ST via JAMAICA AV,0,36167106,Q560002
B15,EN_C4-Saturday,EN_C4-Saturday-028200_B12_5,JFK AIRPORT,0,36167124,B150033
B15,EN_C4-Saturday,EN_C4-Saturday-028600_B15_106,BED-STUY WOODHULL HOSPITAL,1,36167132,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-029000_B12_1,JFK AIRPORT,0,36167130,B150033
B14,EN_C4-Saturday,EN_C4-Saturday-029000_B14_701,CROWN HEIGHTS UTICA AV,1,36166846,B140023
B42,EN_C4-Saturday,EN_C4-Saturday-029000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
B25,EN_C4-Saturday,EN_C4-Saturday-029200_B25_201,BROADWAY JCT ALABAMA AV via FULTON,0,36167063,B250029
B12,EN_C4-Saturday,EN_C4-Saturday-029500_B12_7,LEFFERTS GARDENS OCEAN AV,1,36167113,B120015
Q56,EN_C4-Saturday,EN_C4-Saturday-029500_B15_109,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167099,Q560014
B25,EN_C4-Saturday,EN_C4-Saturday-029500_B25_204,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167064,B250031
B82,EN_C4-Saturday,EN_C4-Saturday-029500_B82_606,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166916,B820069
B15,EN_C4-Saturday,EN_C4-Saturday-029600_B15_107,BED-STUY WOODHULL HOSPITAL,1,36167243,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-029800_B15_112,JFK AIRPORT,0,36167148,B150033
B65,EN_C4-Saturday,EN_C4-Saturday-029800_B45_801,DOWNTOWN BKLYN FULTON MALL,1,36166989,B650004
Q24,EN_C4-Saturday,EN_C4-Saturday-029800_Q24_404,JAMAICA 168 ST via ATLANTIC,0,36167094,Q240242
B17,EN_C4-Saturday,EN_C4-Saturday-030000_B14_702,CROWN HEIGHTS EASTERN PKY,0,36166831,B170993
B17,EN_C4-Saturday,EN_C4-Saturday-030000_B17_752,CANARSIE SEAVIEW AV,1,36166825,B170092
B42,EN_C4-Saturday,EN_C4-Saturday-030000_B42_502,CANARSIE PIER,1,36166931,B420005
B45,EN_C4-Saturday,EN_C4-Saturday-030000_B45_802,DOWNTOWN BKLYN COURT ST,1,36166973,B450013
Q24,EN_C4-Saturday,EN_C4-Saturday-030000_Q24_401,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,36167082,Q240239
Q56,EN_C4-Saturday,EN_C4-Saturday-030500_Q24_405,JAMAICA 170 ST via JAMAICA AV,0,36167097,Q560002
B15,EN_C4-Saturday,EN_C4-Saturday-030600_B12_3,BED-STUY WOODHULL HOSPITAL,1,36167204,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-030600_B15_101,JFK AIRPORT,0,36167126,B150033
B83,EN_C4-Saturday,EN_C4-Saturday-030700_B12_2,SPRING CREEK GATEWAY MALL,1,36167228,B830002
B82,EN_C4-Saturday,EN_C4-Saturday-030700_B82_603,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166936,B820075
B17,EN_C4-Saturday,EN_C4-Saturday-031000_B17_753,CANARSIE SEAVIEW AV,1,36166830,B170092
B12,EN_C4-Saturday,EN_C4-Saturday-031000_B25_202,EAST NEW YORK ALABAMA AV,0,36167114,B120019
B42,EN_C4-Saturday,EN_C4-Saturday-031000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
B82,EN_C4-Saturday,EN_C4-Saturday-031000_B82_607,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166943,B820069
B65,EN_C4-Saturday,EN_C4-Saturday-031100_B65_851,CROWN HEIGHTS RALPH AV,0,36166985,B650009
B65,EN_C4-Saturday,EN_C4-Saturday-031200_B65_852,DOWNTOWN BKLYN FULTON MALL,1,36166986,B650004
B15,EN_C4-Saturday,EN_C4-Saturday-031400_B15_113,JFK AIRPORT,0,36167129,B150033
B12,EN_C4-Saturday,EN_C4-Saturday-031500_B12_4,LEFFERTS GARDENS OCEAN AV,1,36167115,B120015
B83,EN_C4-Saturday,EN_C4-Saturday-031500_B25_203,BROADWAY JCT VAN SINDEREN AV,0,36167257,B830018
B15,EN_C4-Saturday,EN_C4-Saturday-031600_Q24_403,BED-STUY WOODHULL HOSPITAL,1,36167125,B150031
B17,EN_C4-Saturday,EN_C4-Saturday-031900_B17_754,CANARSIE SEAVIEW AV,1,36166826,B170092
B42,EN_C4-Saturday,EN_C4-Saturday-032000_B42_502,CANARSIE PIER,1,36166931,B420005
B15,EN_C4-Saturday,EN_C4-Saturday-032200_B15_105,JFK AIRPORT,0,36167147,B150033
B82,EN_C4-Saturday,EN_C4-Saturday-032200_B42_501,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166918,B820069
Q24,EN_C4-Saturday,EN_C4-Saturday-032200_Q24_402,JAMAICA 168 ST via ATLANTIC,0,36167083,Q240242
B65,EN_C4-Saturday,EN_C4-Saturday-032400_B65_853,DOWNTOWN BKLYN FULTON MALL,1,36166984,B650004
B14,EN_C4-Saturday,EN_C4-Saturday-032500_B14_701,SPRING CREEK STANLEY AV POSTAL FAC,0,36166846,B140022
Q56,EN_C4-Saturday,EN_C4-Saturday-032500_Q56_451,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167106,Q560014
B15,EN_C4-Saturday,EN_C4-Saturday-032600_B83_301,BED-STUY WOODHULL HOSPITAL,1,36167210,B150031
B17,EN_C4-Saturday,EN_C4-Saturday-032700_B17_755,CANARSIE SEAVIEW AV,1,36166828,B170092
Q24,EN_C4-Saturday,EN_C4-Saturday-032800_B12_6,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,36167093,Q240239
B12,EN_C4-Saturday,EN_C4-Saturday-033000_B12_7,EAST NEW YORK ALABAMA AV,0,36167113,B120019
B12,EN_C4-Saturday,EN_C4-Saturday-033000_B15_102,LEFFERTS GARDENS OCEAN AV,1,36167109,B120015
B15,EN_C4-Saturday,EN_C4-Saturday-033000_B15_114,JFK AIRPORT,0,36167138,B150033
B25,EN_C4-Saturday,EN_C4-Saturday-033000_B15_115,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167065,B250031
B17,EN_C4-Saturday,EN_C4-Saturday-033000_B17_752,CROWN HEIGHTS EASTERN PKY,0,36166825,B170993
B42,EN_C4-Saturday,EN_C4-Saturday-033000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
Q56,EN_C4-Saturday,EN_C4-Saturday-033000_Q24_406,JAMAICA 170 ST via JAMAICA AV,0,36167181,Q560002
B65,EN_C4-Saturday,EN_C4-Saturday-033100_B45_801,CROWN HEIGHTS RALPH AV,0,36166989,B650009
B83,EN_C4-Saturday,EN_C4-Saturday-033200_B15_117,SPRING CREEK GATEWAY MALL,1,36167055,B830002
B82,EN_C4-Saturday,EN_C4-Saturday-033200_B82_604,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166940,B820075
B82,EN_C4-Saturday,EN_C4-Saturday-033200_B82_608,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166935,B820069
B25,EN_C4-Saturday,EN_C4-Saturday-033500_B25_204,BROADWAY JCT ALABAMA AV via FULTON,0,36167064,B250029
B45,EN_C4-Saturday,EN_C4-Saturday-033500_B45_802,CROWN HEIGHTS RALPH AV,0,36166973,B450011
B17,EN_C4-Saturday,EN_C4-Saturday-033600_B14_702,CANARSIE SEAVIEW AV,1,36166831,B170092
B14,EN_C4-Saturday,EN_C4-Saturday-033600_B14_703,CROWN HEIGHTS UTICA AV,1,36166844,B140023
B15,EN_C4-Saturday,EN_C4-Saturday-033600_B15_108,BED-STUY WOODHULL HOSPITAL,1,36167156,B150031
B65,EN_C4-Saturday,EN_C4-Saturday-033600_B65_854,DOWNTOWN BKLYN FULTON MALL,1,36166988,B650004
Q24,EN_C4-Saturday,EN_C4-Saturday-033700_B15_116,JAMAICA 168 ST via ATLANTIC,0,36167087,Q240242
B15,EN_C4-Saturday,EN_C4-Saturday-033800_B15_110,JFK AIRPORT,0,36167133,B150033
B17,EN_C4-Saturday,EN_C4-Saturday-034000_B17_753,CROWN HEIGHTS EASTERN PKY,0,36166830,B170993
B42,EN_C4-Saturday,EN_C4-Saturday-034000_B42_502,CANARSIE PIER,1,36166931,B420005
